School,Physical Address,Street,City,State,ZipCode,Total Tuition In State,Tuition per Credit In State,In-state fees,Total Tuition Out of State,Tuition per Credit Out of State,Out-of-state fees,Total Grad Acct Completions (2019-2020),Total UnderGrad Acct Completions (2019-2020),Program Website,Degree Program Name,Modality,Program Degree Credits,Programmic Accrediation ,Grad Course Number,Name of Course,Description,Course Credits,Prerequisite,Core or Elective,Competencies
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,GB730,Introduction to Data Analytics,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Elective,Data Analytics
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,GB739,Data Management and Database Systems,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Elective,System and Process Management
Loyola University Maryland,"4501 N Charles St, Baltimore, Maryland 21210-2699",4501 N Charles St,Baltimore,MD,21210,"$17,910.00","$1,105.00",$60.00,Not listed,Not listed,Not listed,26,58,https://www.loyola.edu/sellinger-business/academics/graduate/master-accounting,MS Accounting,Fully online,30,AACSB,GB851,Business Intelligence & Data Mining,,3,"Financial Accounting; Managerial Accounting; Intermediate Accounting I, Intermediate Accounting II, Auditing",Elective,Operational Knowledge
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT505,Accounting Essentials,Introduces students to the basics of corporate financial reporting and financial statement analysis from the manager’s perspective. Emphasizes the analysis of financial statements and provides an overview of U.S. Generally Accepted Accounting Principles (GAAP) and International Financial Reporting Standards (IFRS) rules for most critical accounting items. prerequisite: graduate standing,1.5,Graduate Standing or ACCT201,Core,Financial Statement Analysis
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT510,Intermediate Accounting I,"A study of financial accounting standard-setting, the conceptual framework underlying financial accounting, balance sheet and income statement presentations, revenue and expense recognition, and accounting for current assets and current liabilities. Prerequisites: ACCT 504 or ACCT 505.",3,ACCT505 or ACCT301,Core,Financial Statement Preparation
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT511,Intermediate Accounting II,"This course focuses on issues related to the reporting and analysis of financial accounting information. The objective in this course is to examine in detail (with an emphasis on both the ""what"" and the ""why"") the following financial topics: 1) Operational Assets 2) Time value of money 3) Bonds and long term notes 4) Leases 5) Employee benefits and pensions. Prerequisite: ACCT 510 or equivalent",3,ACCT510 or ACCT302,Core,Reporting
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT512,Auditing,"A study of generally accepted auditing standards with emphasis on professional standards, planning, internal control, audit evidence, audit sampling and standard reports for the various attestation functions. Prerequisite: ACCT 505 or equivalent",3,ACCT505 or ACCT401,Core,Professional Behavior
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,FIN505,Essentials of Finance,"Provides introductory-level coverage of financial management. Topics include overview of financial markets, financial statement analysis, time value of money, risk-return tradeoff, security pricing and valuation, and capital budgeting decision tools.",1.5,Graduate Standing or FIN331,Core,Financial Statement Analysis
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT740,Advanced Topics in Assurance Services,"A study of the application of generally accepted auditing standards to auditing practice issues, of academic and practitioner research, of internal auditing, of EDP auditing and of governmental auditing issues.",3,ACCT512 or ACCT402,Core,Research
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT 752,Topics in Accounting Systems,"A study of fundamental accounting system concepts, the utilization of accounting system technology to establish security and controls, accounting system development, documentation and data base implementation and the internal controls of accounting information. Projects use AIS applications on the revenue, expense, production and payroll cycles.",3,ACCT505 or ACCT402,Core,Internal Controls
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,INSS605,IT for Business Transformation,"Examines the key roles that information systems and technologies play in the current business environment as well as the disruptive and innovative nature of information systems in promoting the fundamental transformation of industries, businesses and society. Covers current major issues in the field of management of information systems, such as social computing, cybersecurity, big data and mobile technologies",3,N/A,Core,System and Process Management
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,FIN605,Financial Management,"The course provides intermediate-level coverage of topics in financial statements and their analysis, financial forecasting, security risk and pricing and capital budgeting. The course is designed to build on the basic skills acquired in introductory finance courses.",1.5,FIN505,Core,Budgeting and Forecasting
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,FIN625,Corporate Finance,"Provides advanced-level coverage of capital budgeting and intermediate-level coverage of topics in asset pricing, capital structure, dividend policy, and derivative instruments such as options and futures.",1.5,FIN505,Core,Budgeting and Forecasting
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT513,Intermediate Accounting III,"A comprehensive view of financial accounting concepts and principles, an intensive look at the nature and determination of the major financial statements, and an examination of current accounting practice, theory, and literature. Topics include shareholders' equity, investments, income taxes, earnings per share, accounting changes, error analysis, and statement of cash flows. Prerequisite: Completed or concurrent enrollment in ACCT 511.",3,ACCT511 or ACCT310,Elective,Critical Thinking
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT514,Fundamentals of Income Taxation,"A study and analysis of the federal income tax structure with emphasis on the taxation of individuals. Topics include income determination, deductions, property transactions, credits and procedures, and an introduction to corporation and partnership taxation, tax planning and ethical issues. Prerequisite: ACCT 505 or equivalent.",3,ACCT505 or ACCT405,Elective,Tax Compliance
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT601,Forensic Accounting,"Provides an overview of the field of forensic accounting, focusing on the roles, responsibilities and requirements of a forensic accountant in both litigation and fraud engagements. Examines basic litigation and fraud examination theory, identifies financial fraud schemes, explores the legal framework for damages and fraud and damage assessments and methodologies, and reviews earning management and financial reporting fraud. Other topics include computer forensics and corporate governance and ethics. Actual litigation and fraud cases are used to highlight the evolving roles of forensic accounting. Prerequisites: ACCT 504 or ACCT 505.",3,ACCT505 or ACCT412,Elective,Risk Management
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT604,Litigation Support,"Addresses the relationship between the forensic accounting professional and the litigation process in which he or she may play a role. Specifically, this course covers the litigation process, the legal framework for damages and fraud, damage assessment methodologies, issues related to the presentation of evidence through expert testimony, practices used in supporting divorce cases and basic rules of evidence as they apply to forensic accountants. Prerequisites: ACCT 504 or ACCT 505.",3,ACCT505,Elective,Risk Management
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT605,Performance Management and Accounting Controls,"Focuses on how managers can use accounting information in the budgeting process to assist them in planning, controlling and making decisions. Introduces students to internal controls, corporate governance and enterprise risk management. Prerequisites: ACCT 504 or ACCT 505.",3,ACCT505 or ACCT404,Elective,Management Skills
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT624,Finance and Accounting Analytics,"This course focuses on applying cutting-edge analytics techniques to examine ""big data"" in finance, accounting, and auditing. Students will acquire working knowledge of common financial data analytics software packages (e.g. SAS, Tableau, and IDEA). The course will heavily emphasize using data analytics techniques in solving common finance, accounting and auditing problems through using data preparation, data visualization and analysis techniques.",3,ACCT512,Elective,Analysis 
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT635,Financial Statement Analysis,"Explores theoretical and conceptual foundations of generally accepted accounting principles. Integrates U.S. generally accepted accounting principles to develop students' understanding of financial statement analysis. Case materials and financial statements of U.S. and international companies are incorporated. Topics include standard setting, financial statement presentation issues, measurement issues (including fair-value accounting) and classification and recognition issues.",3,ACCT505,Elective,Financial Statement Analysis
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT650,"Law, Regulation, Professional Responsibility","The course provides rigorous overview of theoretical and practical aspects of Law, Regulation, and Professional Responsibilities for Certified Public Accountants. The course covers legal issues pertaining to agency, contracts, debtor-creditor relationships, securities and employment law. The course also covers ethical and professional standards for certified public accountants.",3,ACCT505 or ACCT420,Elective,Risk Management
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT655,Tax Policy,"Explores the evolution and structure of the federal income tax system from a public policy perspective. Focus is placed on legal, economic, social and practical considerations. Alternatives, including current legislative proposals, are considered. Students prepare a research paper on a topic related to tax policy.",3,N/A,Elective,Tax Compliance
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT680,Taxation of Entities,"Covers federal income taxation of corporations, partnerships, estates and trusts as well as the taxation of gifts and estates. Analysis includes consideration of the sources of tax law, weight or authority, ethical issues, planning and administrative procedures",3,ACCT514 or ACCT406,Elective,Tax Compliance
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT701,Accounting Ethics,"Considers business ethics issues within an accounting context from a multiple stakeholder perspective. Ethical theories, codes of ethics relevant to accountants, corporate governance and professional and corporate social responsibility are covered. The course emphasizes the application of concepts such as professionalism, integrity, independence and objectivity to individual decision-making.",3,ACCT505 or ACCT413,Elective,Ethics and CSR
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT702,Federal and State Government Accounting,"This course covers the basic of federal, state and local (municipal) accounting with particular focus on fund accounting and issues specific to the accounting by the US Federal Government. The course coverage will roughly approximate the curriculum of Parts II and III of Exam II of Certified Government Financial Manager examination.",3,ACCT504 or ACCT414,Elective,Governance
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT720,Strategic Profitability Analysis,"Applies current business tools and techniques to the understanding of what factors drive profitability, including financial as well as risk, quality, and social responsibility factors. ",3,ACCT605,Elective,Risk Management
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT755,Advanced Financial Reporting Issues,"A study of business combinations and the preparation of consolidated financial statements for consolidated enterprises, fund-type accounting for governmental units and not-for-profit entities, accounting for partnerships and accounting for multinational enterprises. ",3,ACCT 511 or ACCT403,Elective,Data Governance
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT770,Seminar in Current Topics in Accounting,A study of current developments and contemporary problems in accounting. Topics vary from year to year. A significant writing and research experience is provided,3,ACCT511 or ACCT411,Elective,Research
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,ACCT797,Special Topics in Accounting,"Specialized topics in accounting, allowing flexibility for both the changing developments in accounting and the educational needs of students. Exact topics and prerequisite structure appear in the schedule of classes.",3,ACCT505,Elective,Operational Knowledge
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,INSS611,Data Science Toolkit I,"This course will introduce the basis of using the python programming language in data science, specifically to collect and manipulate data in preparation for exploratory data analysis and prediction. No prior programming experience is required. Topics will include python data structures, program logic and libraries, as well as data wrangling and data management. Types of data sources covered will include databases as well as unstructured data sources such as social media feeds.",1.5,Graduate Standing,Elective,Data Analytics
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,INSS612,Data Science Toolkit II,"The effectiveness of business analytics depends on the quality of the data fed into the analytics models used. Data scientists can spend as much as 60% of their time cleaning and organizing data. This course focuses on preparing data for analytics tasks, to improve the accuracy and reliability of the results. Using python students will learn to ""wrangle"" (clean, transform, merge and reshape) data. Techniques will include data parsing, data correction, and data standardization.",1.5,INSS611/612 or INSS310,Elective,Data Analytics
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,INSS651,Database Management Systems,"Examines the theories and concepts employed in database management systems (DBMS) and the efficiencies and economics of such systems. The course specifically addresses steps in the database cycle, including normalization, database design, implementation and developing queries using SQL. The functions of various types of DBMS are described, including their purpose, advantages, disadvantages and applications in business. Data administration, data requirements for ERP systems and data security issues are also covered.",3,Graduate Standing INSS310 if both or 611/612 are satisfied,Elective,Management Skills
University of Baltimore,"Charles at Mount Royal, Baltimore, Maryland 21201-5720",Charles at Mount Royal,Baltimore,MD,21201,"$13,914.00",$773.00,"$1,670.00","$20,394.00","$1,133.00","$1,670.00",16,Not offered,http://www.ubalt.edu/merrick/graduate-programs/master-of-science/accounting-and-business-advisory-services-ms/program-requirements.cfm,MS Accounting and Business Advisory Services,Partially online,30,AACSB,FIN624,Finance and Accounting Analytics,"This course focuses on applying cutting-edge analytics techniques to examine ""big data"" in finance, accounting, and auditing. Students will acquire working knowledge of common financial data analytics software packages (e.g. SAS, Tableau, and IDEA). The course will heavily emphasize using data analytics techniques in solving common finance, accounting and auditing problems through using data preparation data visualization and analysis techniques. ",3,FIN605,Elective,Data Analytics
